Supercritical,,Conventional,
X,Y,X,Y
-0.02949851685768798,0.6997702173882769,-0.03994938814162567,0.660523347305973
-0.028545247279911035,0.6952497667358335,-0.038054308274760314,0.6560446753102065
-0.027213343705050637,0.689985655994541,-0.03615731852644689,0.6508056317629201
-0.02568925830947639,0.6832091578815436,-0.034262238659581536,0.6463269597671536
-0.024355444853167915,0.6771846755887309,-0.03255552085053387,0.6418399320400519
-0.022831359457593674,0.6704081774757336,-0.03084880304148621,0.63735290431295
-0.02168590805910288,0.6643753394515854,-0.029142085232438546,0.6328658765858481
-0.02016373254497672,0.6583592128901081,-0.02743536742339088,0.6283788488587463
-0.018447465328688614,0.650070327405406,-0.026107283611426668,0.6246354812204938
-0.017302013930197813,0.644037489381258,-0.02402193180529555,0.6194047934045427
-0.015395474774643939,0.6349965880763714,-0.02193467011771634,0.6134137340370716
-0.014250023376153144,0.6289637500522233,-0.020037680369402913,0.6081746904897851
-0.01291620991984467,0.6229392677594106,-0.017571784684740258,0.6014399710334647
-0.011770758521353869,0.6169064297352626,-0.015863156994244496,0.5961925717548429
-0.010625307122863081,0.6108735917111144,-0.0137758953066653,0.5902015123873716
-0.009097401964392654,0.6025763504950771,-0.011878905558351853,0.5849624688400852
-0.007761678626636084,0.5957914966507443,-0.01036054980712188,0.580467085381648
-0.006614317346697207,0.5889982870750762,-0.008842194055891886,0.5759717019232108
-0.005276684127492548,0.5814530616792234,-0.006945204307578473,0.5707326583759242
-0.00413123272900176,0.5754202236550754,-0.005426848556348479,0.5662372749174871
-0.002218963929103618,0.5640982076956285,-0.003718220865852717,0.5609898756388653
-0.0004969670684712435,0.5535282075563663,-0.0020115030568050585,0.5565028479117635
0.000462032153649955,0.5467266422493628,-0.0008717813026585253,0.5527511245421755
0.0018015752543026897,0.53842104530199,0.0012154803849206836,0.5467600651747043
0.0029527562971377597,0.5301070926232818,0.002922198193968356,0.5422730374476026
0.003911755519258958,0.5233055273162783,0.0050113697629956405,0.5355216065286114
0.0046804828021143885,0.5172559778294594,0.006718087572043299,0.5310345788015095
0.0056375721427874975,0.511214784073976,0.008046171384007511,0.5272912111632571
0.006602301009252964,0.5021321041124123,0.009376165077419826,0.5227874719734844
0.007563210112822266,0.49457016725388886,0.010896430710097896,0.5175317169635272
0.008526029097839644,0.4862478588438452,0.012414786461327876,0.51303633350509
0.00910830420432547,0.479429582074171,0.014502048148907085,0.5070452741376188
0.009692489192259401,0.47185093375297665,0.016779581775752048,0.500302198949963
0.010278584061641408,0.46351191388026225,0.01811148535061244,0.4950380882086704
0.01087613821971195,0.4506106646984277,0.01962984110184242,0.49054270475023315
0.011085508973458613,0.44225493336304256,,
0.011298699490101427,0.4323784589246173,,
0.01171362123469856,0.41718773935688713,,
0.011728900286283275,0.41110476694472675,,
0.011934451277133731,0.4042697787123818,,
0.011944000684374165,0.4004679209547815,,
